Regulating prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 24-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
07-06-2021,05 - 06,"464,94","464,94","586,10","586,10","445,85","284,37","218,15","182,81","464,94","464,94",,,,,,,,,,,,,,
07-06-2021,06 - 07,"503,84","503,84","585,39","507,80","491,96","491,96","219,37","132,03","503,84","503,84",,,,,,,,,,,,,,
07-06-2021,07 - 08,"584,48","584,48","584,48","584,48","584,48","584,48","200,48","132,03","584,48","584,48",,,,,,,,,,,,,,
07-06-2021,08 - 09,"619,52","589,25","619,52","589,25","751,34","751,34","214,19","214,19","619,52","589,25",,,,,,,,,,,,,,
07-06-2021,09 - 10,"620,00","588,24","620,00","588,24","799,58","799,58","214,19","214,19","620,00","588,24",,,,,,,,,,,,,,
07-06-2021,10 - 11,"620,00","587,42","620,00","587,42","794,20","794,20","213,99","213,99","620,00","587,42",,,,,,,,,,,,,,
07-06-2021,11 - 12,"620,00","586,71","620,00","586,71","822,64","822,64","214,19","214,19","620,00","586,71",,,,,,,,,,,,,,
07-06-2021,12 - 13,"585,90","585,90","585,90","585,90","710,92","710,92","214,19","214,19","585,90","585,90",,,,,,,,,,,,,,
07-06-2021,13 - 14,"630,00","584,78","630,00","584,78","630,00","617,79","213,89","213,89","630,00","584,78",,,,,,,,,,,,,,
07-06-2021,14 - 15,"630,00","588,95","630,00","588,95","630,00","616,67","213,99","213,99","630,00","588,95",,,,,,,,,,,,,,
07-06-2021,15 - 16,"585,39","585,39","585,39","585,39","595,14","595,14","213,89","213,89","585,39","585,39",,,,,,,,,,,,,,
07-06-2021,16 - 17,"599,20","580,52","599,20","583,26","599,20","580,52","213,78","213,78","599,20","580,52",,,,,,,,,,,,,,
07-06-2021,17 - 18,"599,20","583,26","599,20","583,26","599,20","583,26","213,48","213,48","599,20","583,26",,,,,,,,,,,,,,
07-06-2021,18 - 19,"600,00","583,06","600,00","583,06","600,00","583,06","202,61","202,61","600,00","583,06",,,,,,,,,,,,,,
07-06-2021,19 - 20,"615,00","573,61","615,00","583,16","615,00","573,61","201,09","201,09","615,00","573,61",,,,,,,,,,,,,,
07-06-2021,20 - 21,"615,00","506,78","615,00","584,58","615,00","506,78","196,52","196,52","615,00","506,78",,,,,,,,,,,,,,
07-06-2021,21 - 22,"498,76","498,76","584,48","584,48","498,76","498,76","195,60","195,60","498,76","498,76",,,,,,,,,,,,,,
07-06-2021,22 - 23,"488,00","488,00","583,97","583,97","488,00","488,00","194,18","194,18","488,00","488,00",,,,,,,,,,,,,,
07-06-2021,23 - 00,"471,85","471,85","583,77","583,77","459,86","459,86","190,73","190,73","471,85","471,85",,,,,,,,,,,,,,
08-06-2021,00 - 01,"483,12","483,12","583,56","507,80","471,95","471,95","185,45","185,45","483,12","483,12",,,,,,,,,,,,,,
08-06-2021,01 - 02,"471,85","471,85","582,75","507,80","467,79","467,79","183,62","183,62","471,85","471,85",,,,,,,,,,,,,,
08-06-2021,02 - 03,"468,70","468,70","582,24","507,80","462,61","462,61","181,49","181,49","468,70","468,70",,,,,,,,,,,,,,
08-06-2021,03 - 04,"468,39","468,39","582,14","500,20","457,32","457,32","176,41","176,41","468,39","468,39",,,,,,,,,,,,,,
08-06-2021,04 - 05,"469,31","469,31","579,20","487,49","465,45","465,45","174,38","174,38","469,31","469,31",,,,,,,,,,,,,,
08-06-2021,05 - 06,"487,79","487,49","580,01","487,49","487,79","487,49","177,02","177,02","487,79","487,49",,,,,,,,,,,,,,
08-06-2021,06 - 07,"522,63","487,49","581,02","487,49","522,63","487,49","186,77","186,77","522,63","487,49",,,,,,,,,,,,,,
08-06-2021,07 - 08,"660,14","583,77","660,14","583,77","583,77","583,77","190,83","190,83","660,14","583,77",,,,,,,,,,,,,,
08-06-2021,08 - 09,"660,14","606,52","660,14","606,52","606,52","606,52","213,38","213,38","660,14","606,52",,,,,,,,,,,,,,
08-06-2021,09 - 10,"660,14","602,35","660,14","602,35","660,14","602,35","213,58","213,58","660,14","602,35",,,,,,,,,,,,,,
08-06-2021,10 - 11,"680,45","598,49","680,45","598,49","680,45","598,49","213,48","213,48","680,45","598,49",,,,,,,,,,,,,,
08-06-2021,11 - 12,"594,74","594,74","594,74","594,74","955,96","594,74","213,38","213,38","594,74","594,74",,,,,,,,,,,,,,
08-06-2021,12 - 13,"592,91","592,91","592,91","592,91","903,88","592,91","213,38","213,38","592,91","592,91",,,,,,,,,,,,,,
08-06-2021,13 - 14,"588,34","588,34","588,34","588,34","588,34","588,34","213,89","213,89","588,34","588,34",,,,,,,,,,,,,,
08-06-2021,14 - 15,"608,65","589,05","608,65","589,05","608,65","589,05","213,68","213,68","608,65","589,05",,,,,,,,,,,,,,
08-06-2021,15 - 16,"620,00","583,67","620,00","583,67","620,00","583,67","213,48","213,48","620,00","583,67",,,,,,,,,,,,,,
08-06-2021,16 - 17,"660,14","583,26","660,14","583,26","660,14","576,35","211,14","211,14","660,14","583,26",,,,,,,,,,,,,,
08-06-2021,17 - 18,"660,14","584,07","660,14","584,07","660,14","584,07","203,12","203,12","660,14","584,07",,,,,,,,,,,,,,
08-06-2021,18 - 19,"660,14","582,95","660,14","582,95","660,14","537,25","203,93","203,93","660,14","582,95",,,,,,,,,,,,,,
08-06-2021,19 - 20,"606,62","583,67","606,62","583,67","606,62","583,67","207,69","207,69","606,62","583,67",,,,,,,,,,,,,,
08-06-2021,20 - 21,"592,98","552,99","592,98","581,53","592,98","527,71","199,77","199,77","592,98","552,99",,,,,,,,,,,,,,
08-06-2021,21 - 22,"528,11","528,11","581,43","581,43","510,64","416,40","197,84","197,84","528,11","528,11",,,,,,,,,,,,,,
08-06-2021,22 - 23,"508,21","508,21","580,92","580,92","508,21","416,40","193,98","193,98","508,21","508,21",,,,,,,,,,,,,,
08-06-2021,23 - 00,"496,43","496,43","580,42","580,42","496,43","496,43","190,22","190,22","496,43","496,43",,,,,,,,,,,,,,
09-06-2021,00 - 01,"508,75","508,75","575,47","575,47","508,75","508,75","213,73","213,73","508,75","508,75",,,,,,,,,,,,,,
09-06-2021,01 - 02,"506,43","506,43","573,05","573,05","506,43","506,43","199,36","199,36","506,43","506,43",,,,,,,,,,,,,,
09-06-2021,02 - 03,"505,43","505,43","572,75","572,75","505,43","505,43","194,03","194,03","505,43","505,43",,,,,,,,,,,,,,
09-06-2021,03 - 04,"502,52","502,52","572,65","572,65","502,52","502,52","191,32","191,32","502,52","502,52",,,,,,,,,,,,,,
09-06-2021,04 - 05,"502,82","477,29","572,65","477,29","502,82","477,29","192,93","192,93","502,82","477,29",,,,,,,,,,,,,,
09-06-2021,05 - 06,"496,49","476,39","573,66","476,39","496,49","476,39","197,15","197,15","496,49","476,39",,,,,,,,,,,,,,
09-06-2021,06 - 07,"518,29","482,32","577,68","482,32","518,29","482,32","216,24","216,24","518,29","482,32",,,,,,,,,,,,,,
09-06-2021,07 - 08,"582,60","562,70","582,60","562,70","582,60","562,70","216,24","216,24","582,60","562,70",,,,,,,,,,,,,,
09-06-2021,08 - 09,"601,89","522,51","601,89","522,51","618,17","522,51","216,74","216,74","601,89","522,51",,,,,,,,,,,,,,
09-06-2021,09 - 10,"597,97","542,61","597,97","542,61","638,67","542,61","216,74","216,74","597,97","542,61",,,,,,,,,,,,,,
09-06-2021,10 - 11,"595,06","532,56","595,06","532,56","633,14","532,56","216,64","216,64","595,06","532,56",,,,,,,,,,,,,,
09-06-2021,11 - 12,"593,05","532,56","593,05","532,56","609,73","532,56","216,34","216,34","593,05","532,56",,,,,,,,,,,,,,
09-06-2021,12 - 13,"587,42","522,51","587,42","522,51","587,42","522,51","216,24","216,24","587,42","522,51",,,,,,,,,,,,,,
09-06-2021,13 - 14,"586,22","586,22","586,22","586,22","586,22","586,22","216,14","216,14","586,22","586,22",,,,,,,,,,,,,,
09-06-2021,14 - 15,"586,12","586,12","586,12","586,12","586,12","586,12","216,54","216,54","586,12","586,12",,,,,,,,,,,,,,
09-06-2021,15 - 16,"576,67","576,67","576,67","576,67","576,67","576,67","216,04","216,04","576,67","576,67",,,,,,,,,,,,,,
09-06-2021,16 - 17,"612,95","574,96","612,95","574,96","574,96","574,96","206,49","206,49","612,95","574,96",,,,,,,,,,,,,,
09-06-2021,17 - 18,"612,95","559,69","612,95","573,36","559,69","422,03","204,48","204,48","612,95","559,69",,,,,,,,,,,,,,
09-06-2021,18 - 19,"630,00","547,73","630,00","571,35","547,73","440,62","216,24","216,24","630,00","547,73",,,,,,,,,,,,,,
09-06-2021,19 - 20,"547,03","547,03","572,55","572,55","547,03","547,03","216,34","216,34","547,03","547,03",,,,,,,,,,,,,,
09-06-2021,20 - 21,"532,16","532,16","574,36","574,36","493,57","493,57","400,00","216,44","532,16","532,16",,,,,,,,,,,,,,
09-06-2021,21 - 22,"514,67","514,67","573,76","573,76","489,55","489,55","365,00","206,99","514,67","514,67",,,,,,,,,,,,,,
09-06-2021,22 - 23,"502,31","502,31","573,46","573,46","486,14","486,14","365,00","197,95","502,31","502,31",,,,,,,,,,,,,,
09-06-2021,23 - 00,"532,56","486,34","572,65","572,65","532,56","421,12","189,61","189,61","532,56","486,34",,,,,,,,,,,,,,
10-06-2021,00 - 01,"532,54","490,34","570,02","570,02","532,54","477,48","189,00","189,00","532,54","490,34",,,,,,,,,,,,,,
10-06-2021,01 - 02,"490,24","490,24","568,01","568,01","490,24","490,24","185,39","185,39","490,24","490,24",,,,,,,,,,,,,,
10-06-2021,02 - 03,"474,37","474,37","567,31","567,31","474,37","474,37","184,18","184,18","474,37","474,37",,,,,,,,,,,,,,
10-06-2021,03 - 04,"467,43","467,43","567,01","567,01","467,43","467,43","185,69","185,69","467,43","467,43",,,,,,,,,,,,,,
10-06-2021,04 - 05,"489,14","489,14","566,91","566,91","489,14","489,14","186,99","186,99","489,14","489,14",,,,,,,,,,,,,,
10-06-2021,05 - 06,"487,73","487,73","567,81","502,40","487,73","487,73","188,10","50,24","487,73","487,73",,,,,,,,,,,,,,
10-06-2021,06 - 07,"516,97","512,45","568,72","512,45","516,97","512,45","188,60","188,60","516,97","512,45",,,,,,,,,,,,,,
10-06-2021,07 - 08,"602,88","571,83","602,88","571,83","602,88","571,83","315,00","191,11","602,88","571,83",,,,,,,,,,,,,,
10-06-2021,08 - 09,"673,22","585,50","673,22","585,50","900,00","646,89","315,00","194,93","673,22","581,28",,,,,,,,,,,,,,
10-06-2021,09 - 10,"673,22","586,20","673,22","586,20","854,08","646,09","199,75","199,75","673,22","583,19",,,,,,,,,,,,,,
10-06-2021,10 - 11,"586,00","512,45","586,00","512,45","645,18","512,45","190,91","173,93","584,99","512,45",,,,,,,,,,,,,,
10-06-2021,11 - 12,"585,90","512,45","585,90","512,45","585,90","512,45","191,62","173,93","585,90","512,45",,,,,,,,,,,,,,
10-06-2021,12 - 13,"590,62","522,50","590,62","522,50","590,62","522,50","184,48","173,93","590,62","522,50",,,,,,,,,,,,,,
10-06-2021,13 - 14,"586,80","522,50","586,80","522,50","586,80","522,50","184,98","173,93","586,80","522,50",,,,,,,,,,,,,,
10-06-2021,14 - 15,"576,25","576,25","576,25","576,25","576,25","576,25","335,00","186,49","576,25","576,25",,,,,,,,,,,,,,
10-06-2021,15 - 16,"610,00","571,13","610,00","571,13","507,62","507,62","331,58","186,99","610,00","541,39",,,,,,,,,,,,,,
10-06-2021,16 - 17,"602,88","570,93","602,88","570,93","499,29","499,29","195,33","195,33","602,88","540,88",,,,,,,,,,,,,,
10-06-2021,17 - 18,"602,88","570,93","602,88","570,93","500,19","500,19","195,84","195,84","602,88","542,19",,,,,,,,,,,,,,
10-06-2021,18 - 19,"602,88","570,93","602,88","570,93","497,78","497,78","194,93","60,00","602,88","570,93",,,,,,,,,,,,,,
10-06-2021,19 - 20,"602,88","570,63","602,88","570,63","497,98","497,98","192,62","60,00","602,88","570,63",,,,,,,,,,,,,,
10-06-2021,20 - 21,"622,98","572,13","622,98","572,13","459,80","341,63","189,81","60,00","622,98","572,13",,,,,,,,,,,,,,
10-06-2021,21 - 22,"653,12","529,63","653,12","569,42","437,39","341,63","186,59","60,00","653,12","529,63",,,,,,,,,,,,,,
10-06-2021,22 - 23,"622,98","519,98","622,98","569,02","418,20","341,63","182,67","60,00","622,98","519,98",,,,,,,,,,,,,,
10-06-2021,23 - 00,"602,88","500,69","602,88","567,91","419,00","200,96","178,45","20,10","602,88","500,69",,,,,,,,,,,,,,
11-06-2021,00 - 01,"494,05","494,05","566,12","566,12","381,77","251,30","215,31","-120,62","494,05","494,05",,,,,,,,,,,,,,
11-06-2021,01 - 02,"489,72","489,72","565,11","565,11","344,37","45,23","211,49","-70,36","489,72","489,72",,,,,,,,,,,,,,
11-06-2021,02 - 03,"487,61","487,61","564,81","564,81","336,23","20,10","208,98","20,10","487,61","487,61",,,,,,,,,,,,,,
11-06-2021,03 - 04,"486,71","486,71","564,51","564,51","335,83","-10,05","206,87","20,10","486,71","486,71",,,,,,,,,,,,,,
11-06-2021,04 - 05,"484,50","484,50","562,80","562,80","335,73","-10,05","203,25","20,10","484,50","484,50",,,,,,,,,,,,,,
11-06-2021,05 - 06,"486,51","486,51","562,20","562,20","405,29","-10,05","197,12","20,10","486,51","486,51",,,,,,,,,,,,,,
11-06-2021,06 - 07,"493,34","493,34","565,31","565,31","459,17","311,61","200,83","20,10","493,34","493,34",,,,,,,,,,,,,,
11-06-2021,07 - 08,"572,95","522,19","572,95","566,42","488,01","311,61","213,60","213,60","572,95","522,19",,,,,,,,,,,,,,
11-06-2021,08 - 09,"643,32","568,13","643,32","568,13","474,44","311,61","214,00","214,00","643,32","536,26",,,,,,,,,,,,,,
11-06-2021,09 - 10,"643,32","567,42","643,32","567,42","456,75","30,16","216,92","30,16","643,32","538,07",,,,,,,,,,,,,,
11-06-2021,10 - 11,"613,16","558,68","613,16","566,42","436,95","30,16","221,74","30,16","613,16","533,55",,,,,,,,,,,,,,
11-06-2021,11 - 12,"653,37","524,30","653,37","566,62","405,09","12,87","222,14","12,87","653,37","524,30",,,,,,,,,,,,,,
11-06-2021,12 - 13,"643,32","524,50","643,32","566,32","386,49","13,07","222,35","13,07","643,32","524,50",,,,,,,,,,,,,,
11-06-2021,13 - 14,"623,21","516,76","623,21","566,12","357,54","13,07","222,65","13,07","623,21","516,76",,,,,,,,,,,,,,
11-06-2021,14 - 15,"623,21","506,71","623,21","566,52","350,41","100,00","221,44","100,00","623,21","506,71",,,,,,,,,,,,,,
11-06-2021,15 - 16,"572,95","500,58","572,95","565,72","343,07","100,00","223,05","100,00","572,95","500,58",,,,,,,,,,,,,,
11-06-2021,16 - 17,"508,62","508,62","565,72","565,72","343,57","100,52","221,94","100,52","508,62","508,62",,,,,,,,,,,,,,
11-06-2021,17 - 18,"516,86","516,86","564,71","564,71","340,96","340,96","227,47","227,47","516,86","516,86",,,,,,,,,,,,,,
11-06-2021,18 - 19,"514,15","514,15","563,70","563,70","341,66","341,66","227,97","227,97","514,15","514,15",,,,,,,,,,,,,,
11-06-2021,19 - 20,"509,93","509,93","564,61","564,61","341,46","341,46","227,67","227,67","509,93","509,93",,,,,,,,,,,,,,
11-06-2021,20 - 21,"504,60","504,60","564,21","564,21","343,27","343,27","222,14","222,14","504,60","504,60",,,,,,,,,,,,,,
11-06-2021,21 - 22,"502,59","502,59","563,30","563,30","336,53","336,53","213,20","213,20","502,59","502,59",,,,,,,,,,,,,,
11-06-2021,22 - 23,"501,08","462,38","553,65","462,38","336,03","336,03","177,41","70,36","501,08","462,38",,,,,,,,,,,,,,
11-06-2021,23 - 00,"498,17","462,38","549,23","462,38","318,14","0,00","130,47","0,00","498,17","462,38",,,,,,,,,,,,,,
12-06-2021,00 - 01,"497,70","424,70","557,46","424,70","141,77","3,03","141,77","3,03","497,70","424,70",,,,,,,,,,,,,,
12-06-2021,01 - 02,"475,76","475,76","555,14","555,14","269,99","132,67","269,99","132,67","475,76","475,76",,,,,,,,,,,,,,
12-06-2021,02 - 03,"460,59","460,59","553,92","553,92","332,88","105,36","332,88","105,36","460,59","460,59",,,,,,,,,,,,,,
12-06-2021,03 - 04,"451,49","451,49","560,90","560,90","332,78","101,12","332,78","101,12","451,49","451,49",,,,,,,,,,,,,,
12-06-2021,04 - 05,"423,89","423,89","552,00","552,00","351,49","101,12","351,49","101,12","423,89","423,89",,,,,,,,,,,,,,
12-06-2021,05 - 06,"409,43","409,43","553,52","553,52","374,14","119,32","374,14","119,32","409,43","409,43",,,,,,,,,,,,,,
12-06-2021,06 - 07,"447,75","447,75","560,80","560,80","377,17","152,79","377,17","152,79","447,75","447,75",,,,,,,,,,,,,,
12-06-2021,07 - 08,"472,63","472,63","558,37","558,37","293,24","167,35","293,24","167,35","472,63","472,63",,,,,,,,,,,,,,
12-06-2021,08 - 09,"505,69","505,69","545,23","545,23","226,20","226,20","226,20","226,20","505,69","505,69",,,,,,,,,,,,,,
12-06-2021,09 - 10,"511,35","511,35","511,35","511,35","293,24","229,84","293,24","229,84","511,35","511,35",,,,,,,,,,,,,,
12-06-2021,10 - 11,"540,00","505,99","540,00","505,99","293,24","232,07","293,24","232,07","540,00","505,99",,,,,,,,,,,,,,
12-06-2021,11 - 12,"550,00","367,67","550,00","367,67","293,24","248,04","293,24","234,59","550,00","367,67",,,,,,,,,,,,,,
12-06-2021,12 - 13,"224,58","224,58","224,58","224,58","181,20","181,20","181,20","181,20","224,58","224,58",,,,,,,,,,,,,,
12-06-2021,13 - 14,"68,56","8,09","68,56","8,09","68,56","8,09","68,56","8,09","68,56","8,09",,,,,,,,,,,,,,
12-06-2021,14 - 15,"47,93","-5,06","47,93","-5,06","47,93","-5,06","47,93","-5,06","47,93","-5,06",,,,,,,,,,,,,,
12-06-2021,15 - 16,"19,31","-10,11","19,31","-10,11","19,31","-10,11","19,31","19,31","19,31","-10,11",,,,,,,,,,,,,,
12-06-2021,16 - 17,"34,18","-10,11","34,18","-10,11","34,18","-10,11","34,18","34,18","34,18","-10,11",,,,,,,,,,,,,,
12-06-2021,17 - 18,"150,97","5,00","150,97","5,00","16,48","5,00","16,48","16,48","150,97","5,00",,,,,,,,,,,,,,
12-06-2021,18 - 19,"221,95","5,00","221,95","5,00","201,33","5,00","201,33","201,33","221,95","5,00",,,,,,,,,,,,,,
12-06-2021,19 - 20,"453,82","212,35","453,82","212,35","314,98","212,35","234,29","212,35","453,82","212,35",,,,,,,,,,,,,,
12-06-2021,20 - 21,"462,21","300,00","462,21","300,00","314,38","300,00","231,46","231,46","462,21","300,00",,,,,,,,,,,,,,
12-06-2021,21 - 22,"468,88","300,00","468,88","300,00","314,17","300,00","231,16","231,16","468,88","300,00",,,,,,,,,,,,,,
12-06-2021,22 - 23,"473,64","300,00","473,64","300,00","300,02","300,02","231,05","231,05","473,64","300,00",,,,,,,,,,,,,,
12-06-2021,23 - 00,"442,39","442,39","442,39","442,39","251,68","251,68","230,65","230,65","442,39","442,39",,,,,,,,,,,,,,
13-06-2021,00 - 01,"376,09","376,09","376,09","376,09","205,79","205,79","205,79","205,79","376,09","376,09",,,,,,,,,,,,,,
13-06-2021,01 - 02,"242,29","211,74","242,29","211,74","100,22","0,00","100,22","0,00","242,29","211,74",,,,,,,,,,,,,,
13-06-2021,02 - 03,"75,22","75,22","75,22","75,22","71,08","-10,08","71,08","-10,08","75,22","75,22",,,,,,,,,,,,,,
13-06-2021,03 - 04,"51,93","51,93","51,93","51,93","49,10","-10,08","49,10","-10,08","51,93","51,93",,,,,,,,,,,,,,
13-06-2021,04 - 05,"47,29","47,29","47,29","47,29","44,77","0,00","44,77","0,00","47,29","47,29",,,,,,,,,,,,,,
13-06-2021,05 - 06,"31,66","31,66","31,66","31,66","30,65","0,00","30,65","0,00","31,66","31,66",,,,,,,,,,,,,,
13-06-2021,06 - 07,"272,24","39,12","272,24","39,12","272,24","37,91","272,24","37,91","272,24","39,12",,,,,,,,,,,,,,
13-06-2021,07 - 08,"272,24","85,80","272,24","85,80","272,24","83,28","272,24","83,28","272,24","85,80",,,,,,,,,,,,,,
13-06-2021,08 - 09,"110,91","42,35","110,91","42,35","110,91","40,84","110,91","40,84","110,91","42,35",,,,,,,,,,,,,,
13-06-2021,09 - 10,"49,10","49,10","49,10","49,10","25,41","25,41","25,41","25,41","49,10","49,10",,,,,,,,,,,,,,
13-06-2021,10 - 11,"39,22","10,00","39,22","10,00","25,81","10,00","25,81","10,00","39,22","10,00",,,,,,,,,,,,,,
13-06-2021,11 - 12,"15,23","0,00","15,23","0,00","15,23","0,00","15,23","0,00","15,23","0,00",,,,,,,,,,,,,,
13-06-2021,12 - 13,"14,52","-10,08","14,52","-10,08","14,32","-10,08","14,32","-10,08","14,52","-10,08",,,,,,,,,,,,,,
13-06-2021,13 - 14,"14,42","-10,08","14,42","-10,08","11,49","-10,08","11,49","-10,08","14,42","-10,08",,,,,,,,,,,,,,
13-06-2021,14 - 15,"14,72","-10,08","14,72","-10,08","14,72","-10,08","10,08","-10,08","14,72","-10,08",,,,,,,,,,,,,,
13-06-2021,15 - 16,"39,83","0,00","39,83","0,00","39,83","30,25","14,72","0,00","39,83","0,00",,,,,,,,,,,,,,
13-06-2021,16 - 17,"128,86","128,86","128,86","128,86","423,48","201,96","110,91","32,47","128,86","128,86",,,,,,,,,,,,,,
13-06-2021,17 - 18,"480,00","438,40","480,00","438,40","480,00","289,68","480,00","188,85","480,00","438,40",,,,,,,,,,,,,,
13-06-2021,18 - 19,"584,80","484,48","584,80","484,48","480,00","312,37","480,00","218,39","584,80","484,48",,,,,,,,,,,,,,
13-06-2021,19 - 20,"615,05","487,71","615,05","535,70","494,06","351,49","494,06","218,49","615,05","487,71",,,,,,,,,,,,,,
13-06-2021,20 - 21,"584,80","484,18","584,80","551,03","379,21","374,17","379,21","217,79","584,80","484,18",,,,,,,,,,,,,,
13-06-2021,21 - 22,"574,72","470,97","574,72","574,11","453,73","371,85","453,73","217,99","574,72","470,97",,,,,,,,,,,,,,
13-06-2021,22 - 23,"469,35","469,35","595,79","595,79","378,11","365,80","378,11","217,99","469,35","469,35",,,,,,,,,,,,,,
13-06-2021,23 - 00,"460,18","460,18","595,19","595,19","308,53","308,53","217,89","217,89","460,18","460,18",,,,,,,,,,,,,,
14-06-2021,00 - 01,"467,04","467,04","564,44","483,97","282,02","105,87","200,24","105,87","467,04","467,04",,,,,,,,,,,,,,
14-06-2021,01 - 02,"430,64","430,64","557,18","483,97","265,08","70,58","200,24","70,58","430,64","430,64",,,,,,,,,,,,,,
14-06-2021,02 - 03,"418,03","418,03","554,25","463,81","243,70","40,00","200,24","40,00","418,03","418,03",,,,,,,,,,,,,,
14-06-2021,03 - 04,"411,18","411,18","552,44","453,73","270,82","40,00","200,24","40,00","411,18","411,18",,,,,,,,,,,,,,
14-06-2021,04 - 05,"408,25","408,25","552,23","453,73","287,16","40,00","200,45","40,00","408,25","408,25",,,,,,,,,,,,,,
14-06-2021,05 - 06,"412,69","412,69","551,93","453,73","282,82","40,33","201,05","40,33","412,69","412,69",,,,,,,,,,,,,,
14-06-2021,06 - 07,"406,64","406,64","547,70","450,00","295,93","70,58","221,92","70,58","406,64","406,64",,,,,,,,,,,,,,
14-06-2021,07 - 08,"478,33","443,64","548,71","443,64","330,62","161,32","225,25","161,32","478,33","443,64",,,,,,,,,,,,,,
14-06-2021,08 - 09,"512,51","473,89","525,41","473,89","333,64","191,57","225,85","191,57","512,51","473,89",,,,,,,,,,,,,,
14-06-2021,09 - 10,"514,02","463,81","525,52","463,81","342,51","191,57","225,25","191,57","514,02","463,81",,,,,,,,,,,,,,
14-06-2021,10 - 11,"511,20","450,00","514,42","450,00","351,18","351,18","225,45","225,45","511,20","450,00",,,,,,,,,,,,,,
14-06-2021,11 - 12,"503,33","503,33","508,37","508,37","355,92","355,92","225,65","225,65","503,33","503,33",,,,,,,,,,,,,,
14-06-2021,12 - 13,"496,98","496,98","506,66","506,66","368,22","368,22","225,65","225,65","496,98","496,98",,,,,,,,,,,,,,
14-06-2021,13 - 14,"495,77","495,77","495,77","495,77","360,16","360,16","225,75","225,75","495,77","495,77",,,,,,,,,,,,,,
14-06-2021,14 - 15,"490,12","490,12","490,12","490,12","419,65","346,14","419,65","225,96","490,12","490,12",,,,,,,,,,,,,,
14-06-2021,15 - 16,"494,06","494,06","502,73","502,73","419,65","336,66","419,65","226,26","494,06","494,06",,,,,,,,,,,,,,
14-06-2021,16 - 17,"492,95","492,95","501,92","501,92","346,65","323,96","346,65","226,46","492,95","492,95",,,,,,,,,,,,,,
14-06-2021,17 - 18,"490,33","490,33","500,51","500,51","345,00","300,77","345,00","226,56","490,33","490,33",,,,,,,,,,,,,,
14-06-2021,18 - 19,"487,30","487,30","500,91","500,91","345,00","294,32","345,00","228,58","487,30","487,30",,,,,,,,,,,,,,
14-06-2021,19 - 20,"485,89","443,64","501,22","443,64","345,00","243,60","345,00","227,37","485,89","443,64",,,,,,,,,,,,,,
14-06-2021,20 - 21,"488,61","443,64","502,33","443,64","223,43","223,43","223,43","223,43","488,61","443,64",,,,,,,,,,,,,,
14-06-2021,21 - 22,"487,20","400,00","501,42","400,00","202,26","202,26","202,26","202,26","487,20","400,00",,,,,,,,,,,,,,
14-06-2021,22 - 23,"484,38","400,00","501,92","400,00","194,40","194,40","194,40","194,40","484,38","400,00",,,,,,,,,,,,,,
14-06-2021,23 - 00,"472,28","393,23","502,02","393,23","145,90","145,90","145,90","145,90","472,28","393,23",,,,,,,,,,,,,,
15-06-2021,00 - 01,"452,52","452,52","494,66","494,66","181,89","181,89","181,89","181,89","452,52","452,52",,,,,,,,,,,,,,
15-06-2021,01 - 02,"433,76","383,15","511,80","383,15","101,03","101,03","101,03","101,03","433,76","383,15",,,,,,,,,,,,,,
15-06-2021,02 - 03,"430,33","383,15","510,29","383,15","50,21","50,21","50,21","50,21","430,33","383,15",,,,,,,,,,,,,,
15-06-2021,03 - 04,"428,62","320,00","509,89","320,00","18,15","-5,04","18,15","-10,08","428,62","320,00",,,,,,,,,,,,,,
15-06-2021,04 - 05,"425,70","320,00","511,10","320,00","31,96","-5,04","31,96","-30,25","425,70","320,00",,,,,,,,,,,,,,
15-06-2021,05 - 06,"428,32","320,00","507,06","320,00","145,70","-5,04","145,70","-15,12","428,32","320,00",,,,,,,,,,,,,,
15-06-2021,06 - 07,"515,00","383,15","515,00","383,15","265,00","222,53","265,00","222,53","515,00","383,15",,,,,,,,,,,,,,
15-06-2021,07 - 08,"515,00","472,58","515,00","498,70","292,40","239,57","292,40","229,99","515,00","472,58",,,,,,,,,,,,,,
15-06-2021,08 - 09,"506,26","463,81","509,58","463,81","241,18","151,24","232,21","151,24","506,26","463,81",,,,,,,,,,,,,,
15-06-2021,09 - 10,"492,14","433,56","524,00","433,56","238,46","25,00","231,70","25,00","492,14","433,56",,,,,,,,,,,,,,
15-06-2021,10 - 11,"492,75","413,39","525,21","413,39","251,47","60,50","230,69","60,50","492,75","413,39",,,,,,,,,,,,,,
15-06-2021,11 - 12,"489,42","413,39","530,86","413,39","240,88","60,50","229,08","60,50","489,42","413,39",,,,,,,,,,,,,,
15-06-2021,12 - 13,"484,68","440,00","532,57","440,00","229,69","10,08","229,69","10,08","484,68","440,00",,,,,,,,,,,,,,
15-06-2021,13 - 14,"500,71","483,97","526,22","483,97","232,81","10,08","228,78","10,08","500,71","483,97",,,,,,,,,,,,,,
15-06-2021,14 - 15,"488,01","483,97","532,88","483,97","244,81","10,08","226,56","10,08","488,01","483,97",,,,,,,,,,,,,,
