Regulating prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 24-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
03-01-2021,14 - 15,"272,44","210,00","272,44","210,00","272,44","210,00","264,58","210,00","272,44","210,00",,,,,,,,,,,,,,
03-01-2021,15 - 16,"277,46","215,00","277,46","215,00","277,46","215,00","264,27","215,00","277,46","215,00",,,,,,,,,,,,,,
03-01-2021,16 - 17,"293,69","240,82","293,69","240,82","293,69","240,82","259,14","240,82","293,69","240,82",,,,,,,,,,,,,,
03-01-2021,17 - 18,"298,72","298,72","298,72","298,72","298,72","298,72","223,65","223,65","298,72","298,72",,,,,,,,,,,,,,
03-01-2021,18 - 19,"294,95","294,95","294,95","294,95","294,95","294,95","244,69","244,69","294,95","294,95",,,,,,,,,,,,,,
03-01-2021,19 - 20,"292,33","292,33","292,33","292,33","292,33","292,33","230,77","230,77","292,33","292,33",,,,,,,,,,,,,,
03-01-2021,20 - 21,"288,56","256,52","288,56","256,52","288,56","256,52","220,92","220,92","288,56","256,52",,,,,,,,,,,,,,
03-01-2021,21 - 22,"283,12","251,29","283,12","251,29","283,12","251,29","208,99","208,99","283,12","251,29",,,,,,,,,,,,,,
03-01-2021,22 - 23,"274,11","251,29","274,11","251,29","274,11","251,29","208,67","208,67","274,11","251,29",,,,,,,,,,,,,,
03-01-2021,23 - 00,"260,92","260,92","260,92","260,92","260,92","260,92","206,58","206,58","260,92","260,92",,,,,,,,,,,,,,
04-01-2021,00 - 01,"258,20","209,41","258,20","209,41","258,20","209,41","206,06","206,06","258,20","209,41",,,,,,,,,,,,,,
04-01-2021,01 - 02,"251,81","209,41","251,81","209,41","251,81","209,41","203,23","203,23","251,81","209,41",,,,,,,,,,,,,,
04-01-2021,02 - 03,"250,03","200,00","250,03","200,00","250,03","200,00","201,24","200,00","250,03","200,00",,,,,,,,,,,,,,
04-01-2021,03 - 04,"251,60","200,00","251,60","200,00","251,60","200,00","199,88","199,88","251,60","200,00",,,,,,,,,,,,,,
04-01-2021,04 - 05,"257,36","210,00","257,36","210,00","257,36","210,00","199,46","199,46","257,36","210,00",,,,,,,,,,,,,,
04-01-2021,05 - 06,"270,55","240,82","270,55","240,82","270,55","240,82","199,98","199,98","270,55","240,82",,,,,,,,,,,,,,
04-01-2021,06 - 07,"295,37","251,29","295,37","251,29","295,37","251,29","201,03","201,03","295,37","251,29",,,,,,,,,,,,,,
04-01-2021,07 - 08,"376,93","272,23","376,93","272,23","324,58","272,23","324,58","206,58","376,93","272,23",,,,,,,,,,,,,,
04-01-2021,08 - 09,"985,02","515,14","985,02","515,14","515,14","515,14","300,00","208,36","985,02","515,14",,,,,,,,,,,,,,
04-01-2021,09 - 10,"732,92","523,72","732,92","523,72","523,72","523,72","300,00","209,30","732,92","523,72",,,,,,,,,,,,,,
04-01-2021,10 - 11,"703,58","580,05","703,58","580,05","580,05","580,05","300,00","208,36","703,58","580,05",,,,,,,,,,,,,,
04-01-2021,11 - 12,"600,00","591,89","600,00","591,89","600,00","591,89","600,00","209,20","600,00","591,89",,,,,,,,,,,,,,
04-01-2021,12 - 13,"545,19","545,19","545,19","545,19","545,19","545,19","300,00","208,88","545,19","545,19",,,,,,,,,,,,,,
04-01-2021,13 - 14,"628,22","591,89","628,22","591,89","628,22","591,89","628,22","207,52","628,22","591,89",,,,,,,,,,,,,,
04-01-2021,14 - 15,"629,16","607,17","629,16","607,17","629,16","607,17","629,16","208,46","629,16","607,17",,,,,,,,,,,,,,
04-01-2021,15 - 16,"633,22","603,19","633,22","603,19","633,22","607,59","300,00","208,67","633,22","603,19",,,,,,,,,,,,,,
04-01-2021,16 - 17,"638,69","628,95","638,69","628,95","638,69","633,45","300,00","207,73","638,69","628,95",,,,,,,,,,,,,,
04-01-2021,17 - 18,"691,04","682,87","691,04","682,87","691,04","682,87","300,00","206,79","691,04","682,87",,,,,,,,,,,,,,
04-01-2021,18 - 19,"691,04","623,93","691,04","623,93","691,04","628,74","300,00","206,26","691,04","623,93",,,,,,,,,,,,,,
04-01-2021,19 - 20,"661,37","434,83","661,37","434,83","661,37","562,57","300,00","205,95","661,37","434,83",,,,,,,,,,,,,,
04-01-2021,20 - 21,"523,52","394,52","523,52","394,52","523,52","394,52","300,00","205,11","523,52","394,52",,,,,,,,,,,,,,
04-01-2021,21 - 22,"450,00","364,58","450,00","364,58","450,00","364,58","300,00","204,07","450,00","364,58",,,,,,,,,,,,,,
04-01-2021,22 - 23,"366,46","324,06","366,46","324,06","366,46","324,06","300,00","203,23","366,46","324,06",,,,,,,,,,,,,,
04-01-2021,23 - 00,"312,85","286,36","312,85","286,36","312,85","286,36","312,85","202,18","312,85","286,36",,,,,,,,,,,,,,
05-01-2021,00 - 01,"291,18","291,18","291,18","291,18","291,18","291,18","200,51","200,51","291,18","291,18",,,,,,,,,,,,,,
05-01-2021,01 - 02,"287,41","287,41","287,41","287,41","287,41","287,41","200,30","200,30","287,41","287,41",,,,,,,,,,,,,,
05-01-2021,02 - 03,"283,54","283,54","283,54","283,54","283,54","283,54","200,19","200,19","283,54","283,54",,,,,,,,,,,,,,
05-01-2021,03 - 04,"293,17","284,16","293,17","284,16","293,17","284,16","200,19","200,19","293,17","284,16",,,,,,,,,,,,,,
05-01-2021,04 - 05,"293,17","290,97","293,17","290,97","293,17","290,97","200,51","200,51","293,17","290,97",,,,,,,,,,,,,,
05-01-2021,05 - 06,"329,81","312,12","329,81","312,12","329,81","312,12","201,34","201,34","329,81","312,12",,,,,,,,,,,,,,
05-01-2021,06 - 07,"387,40","374,63","387,40","374,63","387,40","374,63","203,33","203,33","387,40","374,63",,,,,,,,,,,,,,
05-01-2021,07 - 08,"566,86","487,81","566,86","487,81","566,86","561,63","206,58","206,58","566,86","487,81",,,,,,,,,,,,,,
05-01-2021,08 - 09,"700,00","628,22","700,00","628,22","700,00","628,22","211,71","211,71","700,00","628,22",,,,,,,,,,,,,,
05-01-2021,09 - 10,"700,00","629,47","700,00","629,47","700,00","629,47","212,55","212,55","700,00","629,47",,,,,,,,,,,,,,
05-01-2021,10 - 11,"732,92","640,57","732,92","640,57","732,92","640,57","215,06","215,06","732,92","640,57",,,,,,,,,,,,,,
05-01-2021,11 - 12,"844,61","653,97","844,61","653,97","844,61","653,97","215,58","215,58","844,61","653,97",,,,,,,,,,,,,,
05-01-2021,12 - 13,"844,61","643,71","844,61","643,71","844,61","643,71","220,40","220,40","844,61","643,71",,,,,,,,,,,,,,
05-01-2021,13 - 14,"910,92","652,19","910,92","652,19","910,92","652,19","220,71","220,71","910,92","652,19",,,,,,,,,,,,,,
05-01-2021,14 - 15,"910,92","648,01","910,92","648,01","910,92","649,58","225,95","225,95","910,92","648,01",,,,,,,,,,,,,,
05-01-2021,15 - 16,"791,55","654,50","791,55","654,50","791,55","654,50","224,38","224,38","791,55","654,50",,,,,,,,,,,,,,
05-01-2021,16 - 17,"785,27","672,82","785,27","672,82","785,27","672,82","219,67","219,67","785,27","672,82",,,,,,,,,,,,,,
05-01-2021,17 - 18,"785,27","681,20","785,27","681,20","785,27","686,85","213,28","213,28","785,27","681,20",,,,,,,,,,,,,,
05-01-2021,18 - 19,"910,92","494,30","910,92","494,30","910,92","629,58","210,56","210,56","910,92","494,30",,,,,,,,,,,,,,
05-01-2021,19 - 20,"910,92","469,17","910,92","469,17","910,92","572,31","209,82","209,82","910,92","469,17",,,,,,,,,,,,,,
05-01-2021,20 - 21,"910,92","426,98","910,92","426,98","910,92","426,98","213,80","213,80","910,92","426,98",,,,,,,,,,,,,,
05-01-2021,21 - 22,"910,92","414,62","910,92","414,62","910,92","414,62","209,72","209,72","910,92","414,62",,,,,,,,,,,,,,
05-01-2021,22 - 23,"675,00","335,68","675,00","335,68","675,00","335,68","206,89","206,89","675,00","335,68",,,,,,,,,,,,,,
05-01-2021,23 - 00,"408,34","305,84","408,34","305,84","408,34","305,84","203,65","203,65","408,34","305,84",,,,,,,,,,,,,,
06-01-2021,00 - 01,"365,54","311,54","365,54","311,54","365,54","311,54","228,10","228,10","365,54","311,54",,,,,,,,,,,,,,
06-01-2021,01 - 02,"365,54","299,95","365,54","299,95","365,54","299,95","223,61","223,61","365,54","299,95",,,,,,,,,,,,,,
06-01-2021,02 - 03,"365,54","293,58","365,54","293,58","365,54","293,58","212,01","212,01","365,54","293,58",,,,,,,,,,,,,,
06-01-2021,03 - 04,"355,10","292,22","355,10","292,22","355,10","292,22","211,28","211,28","355,10","292,22",,,,,,,,,,,,,,
06-01-2021,04 - 05,"386,43","294,10","386,43","294,10","386,43","294,10","218,80","218,80","386,43","294,10",,,,,,,,,,,,,,
06-01-2021,05 - 06,"386,43","302,88","386,43","302,88","386,43","302,88","224,13","224,13","386,43","302,88",,,,,,,,,,,,,,
06-01-2021,06 - 07,"417,76","320,84","417,76","320,84","417,76","320,84","298,59","298,59","417,76","320,84",,,,,,,,,,,,,,
06-01-2021,07 - 08,"417,76","371,18","417,76","371,18","417,76","371,18","249,30","249,30","417,76","371,18",,,,,,,,,,,,,,
06-01-2021,08 - 09,"731,08","409,20","731,08","409,20","731,08","409,20","249,92","249,92","731,08","409,20",,,,,,,,,,,,,,
06-01-2021,09 - 10,"731,08","437,39","731,08","437,39","731,08","437,39","250,13","250,13","731,08","437,39",,,,,,,,,,,,,,
06-01-2021,10 - 11,"690,04","481,16","690,04","481,16","690,04","481,16","230,92","230,92","690,04","481,16",,,,,,,,,,,,,,
06-01-2021,11 - 12,"762,41","472,80","762,41","472,80","762,41","472,80","230,71","230,71","762,41","472,80",,,,,,,,,,,,,,
06-01-2021,12 - 13,"800,80","482,62","800,80","482,62","800,80","482,62","249,82","249,82","800,80","482,62",,,,,,,,,,,,,,
06-01-2021,13 - 14,"801,08","494,52","801,08","494,52","801,08","494,52","271,13","271,13","801,08","494,52",,,,,,,,,,,,,,
06-01-2021,14 - 15,"803,08","535,88","803,08","535,88","803,08","535,88","298,59","298,59","803,08","535,88",,,,,,,,,,,,,,
06-01-2021,15 - 16,"802,86","573,38","802,86","573,38","802,86","573,38","264,13","264,13","802,86","573,38",,,,,,,,,,,,,,
06-01-2021,16 - 17,"835,52","609,93","835,52","609,93","835,52","609,93","260,26","260,26","835,52","609,93",,,,,,,,,,,,,,
06-01-2021,17 - 18,"1273,36","625,91","1273,36","625,91","1273,36","625,91","360,00","243,87","1273,36","625,91",,,,,,,,,,,,,,
06-01-2021,18 - 19,"1107,06","581,42","1107,06","581,42","1107,06","581,42","360,00","278,75","1107,06","581,42",,,,,,,,,,,,,,
06-01-2021,19 - 20,"877,30","524,81","877,30","524,81","877,30","524,81","360,00","263,61","877,30","524,81",,,,,,,,,,,,,,
06-01-2021,20 - 21,"877,30","416,09","877,30","416,09","877,30","416,09","360,00","323,87","877,30","416,09",,,,,,,,,,,,,,
06-01-2021,21 - 22,"877,30","417,03","877,30","417,03","877,30","417,03","360,00","268,52","877,30","417,03",,,,,,,,,,,,,,
06-01-2021,22 - 23,"678,86","404,18","678,86","404,18","678,86","404,18","360,00","242,20","678,86","404,18",,,,,,,,,,,,,,
06-01-2021,23 - 00,"678,86","339,43","678,86","339,43","678,86","339,43","360,00","223,92","678,86","339,43",,,,,,,,,,,,,,
07-01-2021,00 - 01,"900,00","451,10","900,00","451,10","900,00","451,10","400,00","287,44","900,00","451,10",,,,,,,,,,,,,,
07-01-2021,01 - 02,"617,81","428,28","617,81","428,28","617,81","428,28","370,00","260,32","617,81","428,28",,,,,,,,,,,,,,
07-01-2021,02 - 03,"451,34","410,37","451,34","410,37","451,34","410,37","370,00","246,28","451,34","410,37",,,,,,,,,,,,,,
07-01-2021,03 - 04,"416,55","416,55","416,55","416,55","416,55","416,55","240,63","240,63","416,55","416,55",,,,,,,,,,,,,,
07-01-2021,04 - 05,"432,26","382,20","432,26","382,20","432,26","382,20","243,14","243,14","432,26","382,20",,,,,,,,,,,,,,
07-01-2021,05 - 06,"476,86","429,32","476,86","429,32","476,86","429,32","253,30","253,30","476,86","429,32",,,,,,,,,,,,,,
07-01-2021,06 - 07,"553,51","553,51","553,51","553,51","586,08","408,38","268,59","268,59","553,51","553,51",,,,,,,,,,,,,,
07-01-2021,07 - 08,"709,95","709,95","709,95","709,95","709,95","709,95","274,45","274,45","709,95","709,95",,,,,,,,,,,,,,
07-01-2021,08 - 09,"890,06","884,09","890,06","884,09","890,06","884,09","890,06","292,78","890,06","884,09",,,,,,,,,,,,,,
07-01-2021,09 - 10,"890,06","878,12","890,06","878,12","890,06","878,12","890,06","302,10","890,06","878,12",,,,,,,,,,,,,,
07-01-2021,10 - 11,"890,06","863,25","890,06","863,25","890,06","863,25","890,06","303,77","890,06","863,25",,,,,,,,,,,,,,
07-01-2021,11 - 12,"905,00","900,43","905,00","900,43","905,00","900,43","905,00","310,89","905,00","900,43",,,,,,,,,,,,,,
07-01-2021,12 - 13,"890,06","887,02","890,06","887,02","890,06","887,02","890,06","312,57","890,06","887,02",,,,,,,,,,,,,,
07-01-2021,13 - 14,"890,06","861,68","890,06","861,68","890,06","861,68","890,06","365,24","890,06","861,68",,,,,,,,,,,,,,
07-01-2021,14 - 15,"890,06","823,25","890,06","823,25","890,06","823,25","890,06","371,73","890,06","823,25",,,,,,,,,,,,,,
07-01-2021,15 - 16,"854,14","854,14","854,14","854,14","854,14","854,14","367,65","367,65","854,14","854,14",,,,,,,,,,,,,,
07-01-2021,16 - 17,"939,07","939,07","939,07","939,07","939,07","939,07","323,88","323,88","939,07","939,07",,,,,,,,,,,,,,
07-01-2021,17 - 18,"1046,19","502,62","1046,19","502,62","1046,19","502,62","312,67","312,67","1046,19","502,62",,,,,,,,,,,,,,
07-01-2021,18 - 19,"886,08","502,62","886,08","502,62","886,08","502,62","307,96","307,96","886,08","502,62",,,,,,,,,,,,,,
07-01-2021,19 - 20,"814,56","502,62","814,56","502,62","814,56","502,62","302,73","302,73","814,56","502,62",,,,,,,,,,,,,,
07-01-2021,20 - 21,"677,81","502,62","677,81","502,62","682,73","502,62","324,51","324,51","677,81","502,62",,,,,,,,,,,,,,
07-01-2021,21 - 22,"611,00","495,61","611,00","495,61","621,26","495,61","302,73","302,73","611,00","495,61",,,,,,,,,,,,,,
07-01-2021,22 - 23,"605,66","605,66","605,66","605,66","610,06","610,06","287,44","287,44","605,66","605,66",,,,,,,,,,,,,,
